Date,Previous 14 EMA,Previous 50 EMA,Target Exposure,Shares Traded,Shares Held,Cash,Portfolio Value
2022-09-21,375.14138156356057,380.7681355215923,2.7755575615628914e-17,-5.462795810014786e-18,2.0033104668481928e-15,26525.32712869925,26525.32712869925
2022-09-22,373.01650041498164,379.9225134599306,2.7755575615628914e-17,5.069690809878288e-17,2.0540073749469756e-15,26525.32712869925,26525.32712869925
2022-09-23,370.77264183100493,378.99173101190024,2.7755575615628914e-17,3.325631702664238e-17,2.087263691973618e-15,26525.32712869925,26525.32712869925
2022-09-26,368.0322449905168,377.8634147183882,2.7755575615628914e-17,2.375432451434454e-17,2.1110180164879626e-15,26525.32712869925,26525.32712869925
2022-09-27,365.1952877808437,376.64347947131296,2.7755575615628914e-17,-9.23485029043834e-18,2.1017831661975242e-15,26525.32712869925,26525.32712869925
2022-09-28,362.61856174730417,375.4366701794692,2.7755575615628914e-17,2.0995681228792593e-17,2.122778847426317e-15,26525.32712869925,26525.32712869925
2022-09-29,361.2927966458407,374.54406834836567,2.7755575615628914e-17,-1.406263091473352e-17,2.1087162165115833e-15,26525.32712869925,26525.32712869925
2022-09-30,359.1615289029578,373.39756718075205,2.7755575615628914e-17,2.9200001408002884e-17,2.137916217919586e-15,26525.32712869925,26525.32712869925
2022-10-03,356.6024795088655,372.08662958336043,2.7755575615628914e-17,4.263463884303334e-18,2.1421796818038895e-15,26525.32712869925,26525.32712869925
2022-10-04,355.581373354298,371.17908267223294,2.7755575615628914e-17,-6.511684244849087e-17,2.0770628393553986e-15,26525.32712869925,26525.32712869925
2022-10-05,356.13809762971454,370.73115023096585,2.7755575615628914e-17,-5.507289975851843e-18,2.0715555493795468e-15,26525.32712869925,26525.32712869925
2022-10-06,356.50891394184634,370.267937279583,2.7755575615628914e-17,-1.2298545050820084e-17,2.0592570043287267e-15,26525.32712869925,26525.32712869925
2022-10-07,356.3366194592356,369.6776928891,2.7755575615628914e-17,3.711448297737869e-17,2.0963714873061054e-15,26525.32712869925,26525.32712869925
2022-10-10,354.8661753412334,368.722029974791,2.7755575615628914e-17,2.885709956468562e-17,2.125228586870791e-15,26525.32712869925,26525.32712869925
2022-10-11,353.24025235302724,367.7004504828261,2.7755575615628914e-17,3.393383004383803e-17,2.159162416914629e-15,26525.32712869925,26525.32712869925
2022-10-12,351.5417595588215,366.63382718532256,2.7755575615628914e-17,4.214929030174426e-19,2.1595839098176465e-15,26525.32712869925,26525.32712869925
2022-10-13,349.91998881816613,365.5649900017376,2.7755575615628914e-17,5.5410305393831896e-17,2.2149942152114784e-15,26525.32712869925,26525.32712869925
2022-10-14,349.7086680434523,364.8893073745249,2.7755575615628914e-17,-1.1623389075897176e-16,2.0987603244525066e-15,26525.32712869925,26525.32712869925
2022-10-17,348.467108658492,363.92882366008274,2.7755575615628914e-17,2.617621002780247e-17,2.124936534480309e-15,26525.32712869925,26525.32712869925
2022-10-18,348.55737470454727,363.34903073238956,2.7755575615628914e-17,-6.298984119640133e-17,2.0619466932839078e-15,26525.32712869925,26525.32712869925
2022-10-19,349.182586072066,362.9528514864503,2.7755575615628914e-17,3.4311045238664117e-17,2.096257738522572e-15,26525.32712869925,26525.32712869925
2022-10-20,349.3906631374572,362.47404021492287,2.7755575615628914e-17,5.468014744491927e-18,2.1017257532670638e-15,26525.32712869925,26525.32712869925
2022-10-21,349.17884978423376,361.89866855897617,2.7755575615628914e-17,1.6750122326878266e-17,2.118475875593942e-15,26525.32712869925,26525.32712869925
2022-10-24,350.1222394744609,361.6773196923864,2.7755575615628914e-17,-6.069810043746156e-17,2.0577777751564805e-15,26525.32712869925,26525.32712869925
2022-10-25,351.5210694585953,361.63559987525235,2.7755575615628914e-17,-1.5754035686608728e-17,2.0420237394698718e-15,26525.32712869925,26525.32712869925
2022-10-26,353.50118256073057,361.8213378301291,2.7755575615628914e-17,-1.5143736747411908e-17,2.02688000272246e-15,26525.32712869925,26525.32712869925
2022-10-27,354.8492589354457,361.89155028271597,2.7755575615628914e-17,-7.671704110232813e-18,2.019208298612227e-15,26525.32712869925,26525.32712869925
2022-10-28,355.7586887987404,361.88286136614505,2.7755575615628914e-17,1.7010079888315282e-17,2.0362183785005423e-15,26525.32712869925,26525.32712869925
2022-10-31,357.6941025578667,362.21193707697023,2.7755575615628914e-17,-3.4618995865065995e-17,2.0015993826354763e-15,26525.32712869925,26525.32712869925
2022-11-01,359.0148612142136,362.42322552416624,2.7755575615628914e-17,-1.898253470149395e-17,1.9826168479339824e-15,26525.32712869925,26525.32712869925
2022-11-02,359.9450371083081,362.56314532399983,2.7755575615628914e-17,3.2225888058683603e-17,2.014842735992666e-15,26525.32712869925,26525.32712869925
2022-11-03,359.5265272777212,362.3373832869373,2.7755575615628914e-17,6.742008161873568e-17,2.0822628176114017e-15,26525.32712869925,26525.32712869925
2022-11-04,358.6739505938167,361.9763957913099,2.7755575615628914e-17,-3.054331771391235e-17,2.0517194998974893e-15,26525.32712869925,26525.32712869925
2022-11-07,358.6127363479745,361.82888394655265,2.7755575615628914e-17,-3.857254552870216e-18,2.047862245344619e-15,26525.32712869925,26525.32712869925
2022-11-08,359.0165687672029,361.82153475226386,2.7755575615628914e-17,-1.8269561094954595e-17,2.0295926842496645e-15,26525.32712869925,26525.32712869925
2022-11-09,359.62671718287794,361.89099150255805,2.7755575615628914e-17,6.303467954270178e-18,2.0358961522039347e-15,26525.32712869925,26525.32712869925
